ts,latitude,longitude
1728047285000000000,52.3516219,4.8861505
1728047286000000000,52.3516229,4.8861535
1728047287000000000,52.3516232,4.8861547
1728047288000000000,52.3516245,4.8861577
1728047289000000000,52.3516253,4.8861599
1728047290000000000,52.3516259,4.8861608
1728047291000000000,52.351627,4.8861628
1728047292000000000,52.3516277,4.8861651
1728047293000000000,52.3516288,4.8861678
1728047294000000000,52.3516291,4.8861697
1728047295000000000,52.3516292,4.8861691
1728047296000000000,52.3516299,4.8861722
1728047297000000000,52.3516316,4.8861784
1728047298000000000,52.3516327,4.8861839
1728047299000000000,52.3516316,4.8861876
1728047300000000000,52.3516336,4.8861977
1728047301000000000,52.3516344,4.8862046
1728047302000000000,52.3516324,4.8862049
1728047303000000000,52.3516275,4.8862051
1728047304000000000,52.351619,4.886203
1728047305000000000,52.3516209,4.886205
1728047306000000000,52.3516178,4.8862062
1728047307000000000,52.3516168,4.8862062
1728047308000000000,52.3516093,4.8862031
1728047309000000000,52.3515971,4.8862006
1728047310000000000,52.3515865,4.8862016
1728047311000000000,52.3515718,4.8862037
1728047312000000000,52.351556,4.8862068
1728047313000000000,52.3515406,4.8862109
1728047314000000000,52.3515237,4.8862169
1728047315000000000,52.3515067,4.8862164
1728047316000000000,52.3514919,4.8862155
1728047317000000000,52.3514785,4.8862015
1728047318000000000,52.3514749,4.8861758
1728047319000000000,52.3514792,4.8861518
1728047320000000000,52.3514753,4.8861419
1728047321000000000,52.3514724,4.8861411
1728047322000000000,52.3514634,4.8861342
1728047323000000000,52.3514587,4.8861279
1728047324000000000,52.3514543,4.886123
1728047325000000000,52.3514497,4.8861147
1728047326000000000,52.351449,4.8861103
1728047327000000000,52.3514464,4.8861051
1728047328000000000,52.3514414,4.8860975
1728047329000000000,52.3514375,4.8860892
1728047330000000000,52.3514343,4.8860833
1728047331000000000,52.3514319,4.8860784
1728047332000000000,52.3514295,4.8860736
1728047333000000000,52.3514272,4.8860686
1728047334000000000,52.3514253,4.8860651
1728047335000000000,52.3514245,4.8860634
1728047336000000000,52.3514217,4.8860613
1728047337000000000,52.3514193,4.8860575
1728047338000000000,52.3514178,4.8860423
1728047339000000000,52.351416,4.8860185
1728047340000000000,52.3514156,4.8859868
1728047341000000000,52.3514188,4.885951
1728047342000000000,52.3514234,4.8859196
1728047343000000000,52.351427,4.8858875
1728047344000000000,52.3514299,4.8858607
1728047345000000000,52.351434,4.8858389
1728047346000000000,52.3514345,4.885815
1728047347000000000,52.3514359,4.8857949
1728047348000000000,52.351436,4.8857795
1728047349000000000,52.3514362,4.8857708
1728047350000000000,52.3514362,4.885766
1728047351000000000,52.3514365,4.885764
1728047352000000000,52.3514415,4.8857625
1728047353000000000,52.3514413,4.8857555
1728047354000000000,52.3514413,4.8857542
1728047355000000000,52.351441,4.8857524
1728047356000000000,52.3514418,4.8857539
1728047357000000000,52.3514409,4.8857556
1728047358000000000,52.351441,4.8857577
1728047359000000000,52.3514415,4.8857594
1728047360000000000,52.3514408,4.8857497
1728047361000000000,52.3514439,4.8857348
1728047362000000000,52.3514476,4.8857117
1728047363000000000,52.3514522,4.8856783
1728047364000000000,52.3514619,4.8856394
1728047365000000000,52.3514742,4.8855974
1728047366000000000,52.351488,4.8855542
1728047367000000000,52.3514944,4.8855031
